X1,X2,X3,lang,C(X),GT
0.07649842578516652,0.5678187253051872,0,en,0.7364744198402798,0
0.41466460496736535,0.5157634651971362,1,es,0.5636999202332591,1
0.7038714961822505,0.36101925945385804,0,en,0.5502720896936043,0
0.6882900343795546,0.46366809433501943,0,en,0.7904610663547761,0
0.46086274441823905,0.8043367648409607,1,es,0.9149581201643989,1
0.42323951957825545,0.24965338327672226,0,es,0.9207297702661914,1
0.8485006889465497,0.48362825691189293,0,en,0.8208530860396384,0
0.7033150155625041,0.42959456406216256,0,es,0.8787488918425115,0
0.019826900947984782,0.755879832734481,0,en,0.7703812730719704,1
0.22573859725048995,0.6382551421690331,1,en,0.8567059570473818,0
0.7154121669110379,0.4304250887515151,0,es,0.7395222526170392,0
0.307123973085203,0.5818305218990213,1,en,0.8912881033881628,0
0.8582582790007316,0.8990109385546575,1,es,0.9162368560803215,1
0.3426429530399365,0.20082533588482698,0,en,0.9097592801398565,0
0.6113026854201467,0.18664670541826078,1,es,0.9265605174254931,0
0.42969365713857477,0.2867253026691743,0,es,0.7665433820438767,1
0.8778272087898062,0.13559969987023557,1,en,0.6916816424016268,1
0.5468676598123421,0.6627394793336563,1,en,0.8227692958578647,0
0.6543164445475194,0.5319755359131437,1,en,0.7069083137884677,0
0.2573358958626498,0.6861296120929782,1,en,0.9392204656896193,0
0.7243936798730143,0.38142355707246856,1,en,0.8734535997716819,0
0.2410272883315846,0.11341964595936982,1,en,0.8593795117780056,1
0.401803073636814,0.30036408205642906,0,en,0.7068927345997843,0
0.04545137627485718,0.7239099034700257,0,en,0.9437948584492694,0
0.2727980167146298,0.23783376198433437,1,es,0.807111939915247,0
0.8030994256537669,0.4042164374558893,0,en,0.910834918319685,0
0.7273744677932301,0.9214323933843412,0,en,0.9413265367960646,0
0.5455040117311666,0.8300521912981386,0,en,0.791525339846225,0
0.31246472169662454,0.6840984571350427,0,en,0.9122353559403186,0
0.013630702420800556,0.6547287090270509,1,es,0.8282056794162544,1
0.31948816288852255,0.6980033337573094,1,en,0.9376532272703612,1
0.7809169167712001,0.33680844639239316,1,es,0.6802671293152851,0
0.9830525765273934,0.6345526532277198,1,en,0.5940702891607714,0
0.5975066541414737,0.00633299832154155,1,es,0.982560157804019,0
0.3691401602191974,0.7284764537928807,0,es,0.9394005101028824,0
0.5942353263282962,0.732139052557536,0,es,0.8123014282533287,0
0.4823456864172182,0.26589951531966927,1,es,0.9624064326230632,0
0.6543089220837639,0.3628937530408175,1,es,0.9818935518827172,0
0.9170566261164105,0.4222355408346905,0,es,0.9280118656460096,1
0.8612192359580171,0.8107286540816723,0,en,0.956827332196703,0
0.3047294215828179,0.30620427446479925,0,es,0.8258614070136719,0
0.7196909684843386,0.8743106193937195,0,en,0.8007289573819553,0
0.18387070046653686,0.9383177198118958,1,es,0.8612879381733517,0
0.5515677523066547,0.7212103417564588,1,en,0.8321130430192071,1
0.5907387217738111,0.17336887436958248,0,en,0.8588444836389139,0
0.7566033820180763,0.5348581257443272,1,en,0.7155771891736441,0
0.43224543928761083,0.9485216465848366,0,es,0.5152562591535491,0
0.1475251586975871,0.85991729176228,0,en,0.8751072743300327,0
0.5829176365160045,0.27715405412851113,1,en,0.7401660161496755,0
0.21085709156703025,0.6445237758127802,1,en,0.9457973231139768,0
0.47431278934579013,0.538921543724587,0,en,0.8818945673886318,0
0.9796607761305341,0.25835116713690054,1,es,0.9571551427238078,1
0.6901306387616527,0.24588890483295667,0,en,0.7531077610565546,0
