has_url,lang,UC(X),GT
yes,es,0.5825874776877021,False
yes,en,0.5993482752807434,False
yes,en,0.2987704029740613,True
no,es,0.7081937304409237,True
yes,es,0.6869670180873391,False
yes,en,0.7895967672723915,False
no,es,0.8356732873187168,True
no,en,0.7963390292005235,False
no,es,0.8715482102070585,False
no,es,0.19315413855160465,True
no,es,0.7917371454388158,False
yes,es,0.43774078096292857,False
yes,es,0.7861390727073991,True
yes,es,0.7864938674238868,False
yes,es,0.4826560436477548,True
yes,en,0.8902017175115967,False
no,en,0.5721498017516972,False
yes,en,0.31949120390053465,True
yes,es,0.32433720986604525,False
yes,en,0.8859945342445787,False
no,es,0.3605366911047707,True
yes,en,0.9448832307067394,True
yes,es,0.95730691204428,False
no,en,0.6747996858213062,True
no,es,0.6811287323001767,False
yes,es,0.6518930246981789,True
yes,es,0.397992269317926,False
yes,en,0.9006897225459712,False
yes,en,0.8258759436081047,False
yes,es,0.7831403725615556,False
no,es,0.255854355420308,False
no,en,0.2462471571305796,True
yes,es,0.7414885184988101,True
no,en,0.3677180416030919,False
yes,en,0.9353944152281662,False
yes,en,0.6533516322658542,True
yes,es,0.9585029438581697,True
no,es,0.5589604251779844,False
yes,es,0.7588725038010878,False
no,es,0.31612558190209444,False
yes,en,0.26020384306208155,True
no,en,0.9435087186090039,False
yes,es,0.6528458626403341,False
no,es,0.8003520869007194,False
yes,es,0.6151061263152967,True
yes,es,0.7928412554912809,True
no,es,0.7354307526609427,False
yes,es,0.7511167937906714,True
yes,en,0.5714443952547401,False
yes,en,0.3070036657244366,False
no,en,0.41436074968121833,False
no,en,0.69536138016288,True
no,en,0.864482888258904,False
no,es,0.764801953728668,False
yes,es,0.9526024314645518,False
yes,es,0.6090837539081466,True
no,es,0.9781605819589674,False
no,en,0.8416175254584584,True
no,es,0.3995543715161457,False
yes,en,0.9840627572812287,False
yes,es,0.4139662098210387,True
yes,en,0.8675729541883223,False
no,es,0.4562291568772573,True
no,en,0.9452767668412021,False
no,es,0.34498028752704407,True
yes,es,0.9365086104296838,False
yes,en,0.720654277765605,True
yes,es,0.52087956544291,True
no,es,0.908085507562333,True
yes,es,0.6322652049802018,True
no,es,0.3529015723722906,False
yes,es,0.5271909280183388,True
no,es,0.33175355222874336,True
no,es,0.5874063408025111,True
no,es,0.27078650981395896,False
no,en,0.7524911848795119,False
no,es,0.6051554706061305,False
no,es,0.5785367057389433,True
yes,es,0.5634131021458008,True
no,es,0.39128818517108716,False
no,es,0.8305264775836267,True
no,es,0.8820573617675314,True
yes,en,0.7915197347965512,True
no,en,0.7834584672752856,False
yes,en,0.4008201236073187,False
yes,es,0.38956877015441327,True
no,es,0.8923968112007984,False
yes,es,0.2951729335143609,True
yes,en,0.9030289270443995,True
yes,es,0.9070216851094388,False
no,es,0.631430424490828,False
yes,en,0.43155732172665867,True
no,es,0.43977564598124425,False
no,en,0.6601903289756551,False
yes,es,0.3628250492119131,False
yes,en,0.9516089076856883,True
yes,es,0.8921410741863607,True
yes,es,0.24225345153571126,False
yes,en,0.2658671121005728,True
yes,en,0.8611021273705923,False
yes,es,0.5899411061079386,True
yes,es,0.8477563447305557,False
yes,es,0.7407504141704097,False
no,es,0.8599183409669672,True
no,en,0.0844210329088568,True
no,es,0.7964672017753244,False
no,en,0.12019909408417927,True
