lang,UC(X),GT
en,0.4838131780282061,False
es,0.563044284692657,False
es,0.6848820756795327,False
en,0.2421744363969237,False
es,0.37831998818681434,False
es,0.17336809409212744,False
es,0.36244285014793004,False
en,0.11444911361812593,False
es,0.552457872254277,True
en,0.5789713454123758,False
es,0.8635376015211552,True
es,0.6031567689302078,False
en,0.3540217326759949,False
en,0.44975826212341047,False
es,0.25114707470365155,False
en,0.5880374356418897,True
en,0.4422004751764079,False
es,0.5568194121988371,False
en,0.36677798669343914,False
es,0.10278147736533862,False
es,0.6993036632784722,False
es,0.7687660477473102,False
en,0.3335610799716187,False
en,0.8137144133470465,True
es,0.5354018959614336,False
es,0.5300861735326715,True
es,0.46468033065639425,False
en,0.5336605063242309,False
es,0.442785142674396,False
es,0.579084378165411,False
es,0.14773429874643182,False
es,0.30227096691467004,False
es,0.6117185872624372,False
es,0.555071542787123,True
en,0.6351165212482369,False
en,0.4691259492013522,False
en,0.5185359250122985,False
es,0.38839159425252856,False
en,0.26630078858283296,False
es,0.09912202966890415,False
es,0.21698166553716422,False
es,0.6257981056713336,False
en,0.24547229220442085,False
es,0.70940683465192,False
en,0.8201308882400627,True
en,0.36859046851453464,False
es,0.7845866086940129,False
es,0.3779912403528525,False
en,0.4774077970027117,False
es,0.6176886939665934,False
es,0.6715448694883178,False
en,0.3816146689260826,False
en,0.4598164083653261,False
es,0.48793347790070757,False
es,0.602614780007944,False
en,0.3259850527135992,False
en,0.4977122273739494,False
es,0.4356297163979138,False
es,0.35670684143615083,False
es,0.4128365208775348,False
es,0.5384854567118442,False
en,0.16132274033435365,False
en,0.2988703583958188,False
en,0.3494529401058447,False
es,0.314369255499346,False
en,0.308718484628091,False
en,0.1919176626021839,False
es,0.2127891104980243,False
en,0.23064040929706536,False
es,0.32728961206893376,True
es,0.2172591551859092,False
es,0.42430983707429054,False
en,0.8515771750083994,True
en,0.4303735403123872,False
en,0.813739669568759,True
en,0.6900452719492056,False
en,0.38912572584914534,False
es,0.10512515013935972,False
en,0.6129256078844523,False
en,0.2286779421206128,False
en,0.47742159437328374,False
en,0.8322603645259024,True
en,0.4261805298121053,False
en,0.5436947337000092,False
en,0.711653472055075,False
en,0.4728867789465794,False
en,0.4978499594504642,True
es,0.3616648941137481,False
es,0.39042833477226274,False
es,0.598436799545231,False
en,0.18448643052529717,False
es,0.32716237984461505,False
en,0.7138481659963258,False
es,0.5902629213924903,False
en,0.1983924783703345,False
en,0.06528942953609113,False
es,0.6231146207754389,False
es,0.4168380706514874,False
en,0.48955561620185545,False
en,0.6671948419108021,True
en,0.7088922684353346,False
en,0.8966157279960469,False
en,0.25844099223010863,False
es,0.5304962088196911,False
en,0.7306780548962143,True
en,0.3274069282038876,False
es,0.030768564150388544,False
es,0.04793590507975228,False
en,0.5744729057008362,False
en,0.5328568380480014,True
es,0.5082180752605712,True
en,0.11880077320149963,False
es,0.9019379510846999,True
en,0.603424632637809,False
es,0.5454027378361593,False
en,0.5602573962051848,True
en,0.15998329539435388,False
es,0.651911460026471,False
en,0.5306908775549667,True
es,0.6918630549749885,True
en,0.33353520643757045,False
en,0.5828850712666322,True
en,0.2775712584796202,False
es,0.13201090229420318,False
es,0.1494237254515675,False
es,0.8305382001003445,True
en,0.2168368887185445,False
en,0.3846992897628786,False
en,0.7553741305048698,True
es,0.866620895644987,False
en,0.26589977504818835,False
en,0.5462400479909673,True
en,0.3269741201601569,False
es,0.32047840309045184,False
en,0.813429834961318,False
es,0.5232315244526442,False
es,0.40078434338929686,False
es,0.2307007462349017,False
en,0.6637883424640154,False
es,0.6042235352544886,True
en,0.3474974845803741,True
en,0.7511862079259044,False
en,0.05551933611078708,False
es,0.4709432074139323,False
en,0.7081408967965203,False
es,0.8939819883349295,False
en,0.19488622908584216,False
en,0.7036033343158818,False
en,0.5069147139791536,False
en,0.048557738960350594,False
es,0.6420890131669579,False
en,0.62331812073115,True
en,0.11034668793449412,False
en,0.33304102303790556,False
es,0.6857603679559598,False
en,0.5204716539872695,False
en,0.22241458869198466,False
es,0.36217835126655157,False
en,0.23274833588554594,False
es,0.7779864539333543,False
es,0.21350953175159143,False
en,0.3466155223986797,False
en,0.6289749793207117,False
es,0.7365590862665858,False
es,0.5572708712032397,False
es,0.07236426110966587,False
en,0.5480064962503308,False
es,0.23837343465552588,False
en,0.41138202831793236,False
es,0.34951137508830915,False
es,0.1428148418285791,False
en,0.3750118843255706,False
es,0.45604553217460064,False
es,0.476225170085459,False
en,0.4012570687064285,False
es,0.7825854723215293,False
es,0.7962461870910565,True
en,0.8747253338497017,True
en,0.24072083223230611,False
en,0.5158097609530826,False
es,0.16332114331031858,False
en,0.20141820740618133,False
en,0.7825489993822138,True
en,0.4645582815378541,False
en,0.8700330475981283,True
en,0.8732532900493178,False
es,0.22934470274965546,False
es,0.3554691360237354,False
en,0.3202900372867022,False
en,0.5329346465149458,False
en,0.0633807320682107,False
en,0.05360998101473026,False
es,0.6533070814144446,False
en,0.27840793573112294,False
en,0.7488183885408686,False
es,0.639328031663009,False
es,0.7307209551624821,False
es,0.36553219409862187,False
es,0.5974975022875132,False
en,0.3222512553819579,False
en,0.11018178224480438,False
en,0.5107577535354377,False
es,0.7305203649188212,True
es,0.2856899625216923,False
en,0.4548557188767214,True
es,0.23769612397752504,False
en,0.20117642546028433,False
es,0.13454638778166977,False
en,0.20335266059876375,False
en,0.4087970966292174,False
es,0.710851799832118,True
en,0.3787274969341797,False
es,0.3922076669981724,False
es,0.8655355316917445,True
en,0.319360711585101,False
es,0.4514199172004296,True
es,0.4242382759291007,False
en,0.2735285566889081,False
es,0.6656822666134947,False
es,0.29506643823881995,False
es,0.8347890610118269,True
es,0.863190655932161,False
en,0.6468186597223222,False
en,0.37558601427984833,False
es,0.8612922624628486,True
en,0.850927526399136,False
en,0.4263338764820832,False
en,0.653796050244695,True
es,0.5591047767652366,True
en,0.09357296801316145,False
es,0.895220883258307,False
es,0.5778112025093253,False
es,0.3938166310480254,False
en,0.753303883978544,False
es,0.46074412709499474,False
en,0.2695440436810144,False
es,0.7512798019346897,True
es,0.19788730461579093,False
es,0.533724229622309,True
es,0.5595702186227361,False
en,0.5787157995525635,False
es,0.3847137924481562,False
en,0.17704421760750202,False
en,0.41904035499214676,False
es,0.8239211386919431,True
es,0.3934847337819022,False
es,0.5599318399713046,False
en,0.6040314028044124,True
es,0.44288784028815237,False
es,0.4711318866346681,False
en,0.4272242401167295,False
es,0.7640189333569375,True
es,0.35785447100268286,False
es,0.2912539631305137,False
en,0.3717476624701076,False
es,0.22903601295508688,False
en,0.544471364239923,True
en,0.8870850636172171,False
en,0.1817641372518997,False
en,0.5483208353078706,True
en,0.7658803770005405,False
es,0.35706057183070145,False
es,0.365004272466716,False
es,0.5476859875238379,False
es,0.47649889687270885,True
en,0.47043578949349346,False
en,0.7768898604473223,True
es,0.17454467768166107,False
en,0.7805110199353119,False
en,0.34405908928786894,False
en,0.42565544192788746,False
es,0.2551529550428755,False
en,0.5136791525866358,False
en,0.6030657145998378,False
es,0.21270795332406686,False
en,0.3553845623875454,False
es,0.4454080182869544,False
es,0.16792367781474782,False
es,0.7030606283571161,False
es,0.14825819475651825,False
es,0.41072948240504037,False
en,0.6240538247840479,False
es,0.6558724474016123,False
en,0.2675384504047262,False
es,0.3551237911403472,False
en,0.45911609744976684,False
es,0.8634621334162821,True
es,0.6490021575655743,True
es,0.26983633615045727,False
es,0.913302530752912,True
en,0.5487321484759503,False
es,0.7658981558485961,True
es,0.20530130439129426,False
en,0.5042981019303768,False
en,0.11023172600710342,False
es,0.6996806763323375,False
en,0.6741219471032341,True
es,0.7749197097748756,False
es,0.32157199913684376,False
en,0.16292957358218887,False
es,0.5053069238641295,False
en,0.10744941191744845,False
es,0.22982750169227584,False
es,0.2881406843469723,True
es,0.7540536440873159,True
es,0.24979431174228728,False
en,0.615197753419728,False
en,0.5560307910123534,False
en,0.2676456350063289,False
en,0.7359942952179045,True
en,0.3848841812546447,False
en,0.5015457340935947,False
en,0.5584700717384588,False
es,0.7360036099833838,False
en,0.35481140817728196,False
es,0.5346092817392077,False
es,0.6171493545428869,False
en,0.7123830965310615,True
es,0.5115053966662243,False
en,0.3203265831885019,False
es,0.6643141277775527,True
en,0.5661345022175163,False
es,0.5391158318357083,True
